frame,label,confidence,x,y,time
38,dog,0.5215,362,540,2025-10-31T15:34:58.348087+00:00
38,moc4,0.5137,346,418,2025-10-31T15:34:58.348087+00:00
39,moc1,0.853,817,662,2025-10-31T15:34:58.379789+00:00
39,songoku,0.811,449,395,2025-10-31T15:34:58.379789+00:00
39,moc2,0.7808,693,400,2025-10-31T15:34:58.379789+00:00
39,moc3,0.7759,127,667,2025-10-31T15:34:58.379789+00:00
39,dog,0.5718,362,539,2025-10-31T15:34:58.379789+00:00
39,moc4,0.385,345,419,2025-10-31T15:34:58.379789+00:00
40,moc1,0.855,817,662,2025-10-31T15:34:58.416433+00:00
40,songoku,0.8271,449,394,2025-10-31T15:34:58.416433+00:00
40,moc2,0.7808,693,401,2025-10-31T15:34:58.416433+00:00
40,moc3,0.7446,127,666,2025-10-31T15:34:58.416433+00:00
40,dog,0.6406,362,540,2025-10-31T15:34:58.416433+00:00
41,moc1,0.832,817,662,2025-10-31T15:34:58.455420+00:00
41,songoku,0.8228,449,395,2025-10-31T15:34:58.455420+00:00
41,moc3,0.814,126,666,2025-10-31T15:34:58.455420+00:00
41,moc2,0.7686,693,400,2025-10-31T15:34:58.455420+00:00
41,dog,0.5796,362,540,2025-10-31T15:34:58.457425+00:00
42,moc1,0.8398,817,662,2025-10-31T15:34:58.490727+00:00
42,songoku,0.8184,450,395,2025-10-31T15:34:58.490727+00:00
42,moc3,0.8008,126,666,2025-10-31T15:34:58.490727+00:00
42,moc2,0.7612,693,400,2025-10-31T15:34:58.490727+00:00
42,dog,0.5796,363,540,2025-10-31T15:34:58.490727+00:00
42,moc4,0.3259,345,418,2025-10-31T15:34:58.492621+00:00
43,moc1,0.8481,817,662,2025-10-31T15:34:58.522279+00:00
43,songoku,0.8296,449,394,2025-10-31T15:34:58.522279+00:00
43,moc3,0.8208,127,666,2025-10-31T15:34:58.522279+00:00
43,moc2,0.7656,693,401,2025-10-31T15:34:58.522279+00:00
43,dog,0.5332,362,540,2025-10-31T15:34:58.522279+00:00
44,moc1,0.8428,817,662,2025-10-31T15:34:58.553836+00:00
44,moc3,0.8164,126,667,2025-10-31T15:34:58.553836+00:00
44,songoku,0.7808,449,395,2025-10-31T15:34:58.553836+00:00
44,moc2,0.7568,693,401,2025-10-31T15:34:58.553836+00:00
44,dog,0.5273,363,540,2025-10-31T15:34:58.553836+00:00
44,moc4,0.4397,344,417,2025-10-31T15:34:58.566003+00:00
45,moc1,0.8267,817,662,2025-10-31T15:34:58.585573+00:00
45,songoku,0.8193,449,395,2025-10-31T15:34:58.585573+00:00
45,moc3,0.7891,126,666,2025-10-31T15:34:58.585573+00:00
45,moc2,0.7407,693,401,2025-10-31T15:34:58.585573+00:00
45,dog,0.5659,362,540,2025-10-31T15:34:58.585573+00:00
45,moc4,0.3057,345,417,2025-10-31T15:34:58.585573+00:00
46,moc1,0.8501,817,662,2025-10-31T15:34:58.627623+00:00
46,songoku,0.8101,450,394,2025-10-31T15:34:58.627623+00:00
46,moc3,0.7959,125,667,2025-10-31T15:34:58.633261+00:00
46,moc2,0.7549,692,401,2025-10-31T15:34:58.633261+00:00
46,dog,0.5737,363,540,2025-10-31T15:34:58.633261+00:00
46,moc4,0.3174,345,416,2025-10-31T15:34:58.633261+00:00
47,moc1,0.8662,817,662,2025-10-31T15:34:58.666351+00:00
47,moc2,0.7842,692,400,2025-10-31T15:34:58.666351+00:00
47,moc3,0.7812,127,667,2025-10-31T15:34:58.666351+00:00
47,songoku,0.7769,449,394,2025-10-31T15:34:58.668357+00:00
47,dog,0.4902,362,539,2025-10-31T15:34:58.668357+00:00
47,moc4,0.3398,345,417,2025-10-31T15:34:58.668357+00:00
48,moc1,0.832,816,663,2025-10-31T15:34:58.696388+00:00
48,moc2,0.7734,692,400,2025-10-31T15:34:58.696388+00:00
48,moc3,0.7661,127,666,2025-10-31T15:34:58.696388+00:00
48,songoku,0.7485,450,394,2025-10-31T15:34:58.696388+00:00
48,dog,0.498,363,540,2025-10-31T15:34:58.696388+00:00
48,moc4,0.3074,344,418,2025-10-31T15:34:58.696388+00:00
49,moc1,0.8091,817,663,2025-10-31T15:34:58.728083+00:00
49,songoku,0.7886,449,394,2025-10-31T15:34:58.728083+00:00
49,moc3,0.772,126,666,2025-10-31T15:34:58.728083+00:00
49,moc2,0.7373,692,400,2025-10-31T15:34:58.728083+00:00
49,dog,0.6299,363,540,2025-10-31T15:34:58.728083+00:00
50,moc1,0.814,817,663,2025-10-31T15:34:58.766059+00:00
50,songoku,0.8052,450,395,2025-10-31T15:34:58.766059+00:00
50,moc3,0.7773,126,666,2025-10-31T15:34:58.766059+00:00
50,moc2,0.7485,692,400,2025-10-31T15:34:58.766059+00:00
50,dog,0.6167,362,541,2025-10-31T15:34:58.766059+00:00
51,moc1,0.8057,817,662,2025-10-31T15:34:58.807954+00:00
51,songoku,0.8052,450,395,2025-10-31T15:34:58.807954+00:00
51,moc3,0.7866,126,667,2025-10-31T15:34:58.809961+00:00
51,moc2,0.7568,693,400,2025-10-31T15:34:58.809961+00:00
51,dog,0.5215,362,541,2025-10-31T15:34:58.809961+00:00
52,songoku,0.7988,450,394,2025-10-31T15:34:58.841825+00:00
52,moc1,0.793,817,662,2025-10-31T15:34:58.843830+00:00
52,moc3,0.7881,126,667,2025-10-31T15:34:58.843830+00:00
52,moc2,0.7529,691,400,2025-10-31T15:34:58.843830+00:00
52,dog,0.5547,362,540,2025-10-31T15:34:58.843830+00:00
53,songoku,0.8013,450,394,2025-10-31T15:34:58.877636+00:00
53,moc1,0.792,818,662,2025-10-31T15:34:58.877636+00:00
53,moc3,0.7734,126,666,2025-10-31T15:34:58.877636+00:00
53,moc2,0.7456,692,400,2025-10-31T15:34:58.877636+00:00
53,dog,0.606,362,540,2025-10-31T15:34:58.879641+00:00
53,moc4,0.3486,345,418,2025-10-31T15:34:58.879641+00:00
54,songoku,0.8262,449,394,2025-10-31T15:34:58.903335+00:00
54,moc3,0.7842,127,667,2025-10-31T15:34:58.903335+00:00
54,moc1,0.7842,817,662,2025-10-31T15:34:58.903335+00:00
54,moc2,0.7305,693,401,2025-10-31T15:34:58.903335+00:00
54,dog,0.6113,363,540,2025-10-31T15:34:58.903335+00:00
55,songoku,0.8271,449,395,2025-10-31T15:34:58.935027+00:00
55,moc3,0.8066,126,667,2025-10-31T15:34:58.935027+00:00
55,moc1,0.8018,817,662,2025-10-31T15:34:58.935027+00:00
55,moc2,0.7485,693,402,2025-10-31T15:34:58.935027+00:00
55,dog,0.604,362,540,2025-10-31T15:34:58.935027+00:00
56,moc1,0.8291,817,662,2025-10-31T15:34:58.976967+00:00
56,songoku,0.8218,449,395,2025-10-31T15:34:58.976967+00:00
56,moc3,0.8057,126,666,2025-10-31T15:34:58.976967+00:00
56,moc2,0.7285,693,402,2025-10-31T15:34:58.976967+00:00
56,dog,0.583,362,540,2025-10-31T15:34:58.976967+00:00
57,songoku,0.8452,449,394,2025-10-31T15:34:59.013663+00:00
57,moc1,0.8091,817,662,2025-10-31T15:34:59.013663+00:00
57,moc3,0.7773,126,666,2025-10-31T15:34:59.013663+00:00
57,moc2,0.7378,693,401,2025-10-31T15:34:59.013663+00:00
57,dog,0.6372,363,540,2025-10-31T15:34:59.013663+00:00
58,moc1,0.8389,817,662,2025-10-31T15:34:59.045247+00:00
58,songoku,0.835,450,394,2025-10-31T15:34:59.045247+00:00
58,moc3,0.7866,127,667,2025-10-31T15:34:59.045247+00:00
58,moc2,0.708,692,401,2025-10-31T15:34:59.045247+00:00
58,dog,0.5796,362,540,2025-10-31T15:34:59.045247+00:00
59,moc1,0.8521,817,662,2025-10-31T15:34:59.077170+00:00
59,songoku,0.8496,450,394,2025-10-31T15:34:59.077170+00:00
59,moc3,0.7842,126,666,2025-10-31T15:34:59.077170+00:00
59,moc2,0.7227,693,400,2025-10-31T15:34:59.077170+00:00
59,dog,0.5869,363,540,2025-10-31T15:34:59.077170+00:00
60,songoku,0.8506,450,395,2025-10-31T15:34:59.109017+00:00
60,moc1,0.8438,817,662,2025-10-31T15:34:59.109017+00:00
60,moc3,0.7891,126,667,2025-10-31T15:34:59.109017+00:00
60,dog,0.6909,362,540,2025-10-31T15:34:59.109017+00:00
60,moc4,0.314,345,418,2025-10-31T15:34:59.109017+00:00
61,moc1,0.8472,817,663,2025-10-31T15:34:59.140836+00:00
61,songoku,0.8394,450,394,2025-10-31T15:34:59.140836+00:00
61,moc3,0.8267,126,667,2025-10-31T15:34:59.140836+00:00
61,dog,0.6333,362,540,2025-10-31T15:34:59.140836+00:00
61,moc4,0.3057,345,418,2025-10-31T15:34:59.140836+00:00
